entity_code,period,date,gl_account,vendor,description,department,amount
001,01-2026,2026-01-01,5100,CleanPro Contract Services,Invoice — Guest Supplies,Rooms,25389.71
001,01-2026,2026-01-01,5202,Urban Produce Co,Food & beverage supply delivery — Banquet Cost of Sales,F&B,52882.27
001,01-2026,2026-01-01,6002,Nordheim Legal Partners,Professional services invoice — Professional Fees – Legal,Administrative,31249.9
001,01-2026,2026-01-01,6104,Scandinavian Media Group,Marketing services invoice — Loyalty Program Costs,Sales & Marketing,29318.66
001,01-2026,2026-01-01,6105,Nordic Print & Signage,Marketing services invoice — Sales & Marketing Travel,Sales & Marketing,32619.59
001,01-2026,2026-01-01,6202,ElevateTech Elevator Co,Maintenance contract charge — Grounds & Landscaping,Property Operations,36518.08
001,01-2026,2026-01-01,7001,Group Management Services,Management fee accrual — Incentive Management Fee,Fixed Charges,33048.66
001,01-2026,2026-01-02,5703,Business Services Nordic,Invoice — Gift Shop Cost of Sales,Other Operated,9997.42
001,01-2026,2026-01-02,7402,Property Holdings Lease Co,Lease payment — Vehicle Lease,Fixed Charges,79387.8
001,01-2026,2026-01-03,5102,Reservation Systems Partners,Invoice — Reservation & Distribution Costs,Rooms,54594.51
001,01-2026,2026-01-03,5104,Nordic Linen Services,Invoice — Rooms Division Other Operating Expense,Rooms,48475.16
001,01-2026,2026-01-03,5602,Spa Retail Distributors,Invoice — Spa Equipment Maintenance,Spa & Wellness,28270.33
001,01-2026,2026-01-03,6003,Office Plus Nordic,Professional services invoice — Professional Fees – Audit,Administrative,22589.37
001,01-2026,2026-01-03,6201,Nordic Facilities Services,Maintenance contract charge — Building Repairs & Maintenance,Property Operations,27124.97
001,01-2026,2026-01-03,6301,Oslo Energi AS,Monthly utility invoice — District Heating,Property Operations,59501.77
001,01-2026,2026-01-04,5004,Internal Payroll,Payroll run — Concierge & Guest Services Salaries,Rooms,224528.86
001,01-2026,2026-01-04,5105,Reservation Systems Partners,Invoice — Uniforms – Rooms Division,Rooms,33364.54
001,01-2026,2026-01-04,5404,Nordic Uniform & Linen,Invoice — F&B Uniforms & Laundry,F&B,29028.76
001,01-2026,2026-01-04,5500,Internal Payroll,Payroll run — Spa Therapist Salaries,Spa & Wellness,41102.86
001,01-2026,2026-01-04,6003,Nordheim Legal Partners,Professional services invoice — Professional Fees – Audit,Administrative,22589.38
